Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"Jun. 10, 2019, 12:03 PM",Main Account,0.04000000 BTC,283.80 EUR,7095.00 EUR,0.71000 EUR,Sell
Market,"Jun. 14, 2019, 01:00 PM",Main Account,0.04000000 BTC,298.72 EUR,7468.00 EUR,0.75000 EUR,Sell
Market,"Jun. 14, 2019, 01:00 PM",Main Account,0.03000000 BTC,224.04 EUR,7468.00 EUR,0.57000 EUR,Sell
Market,"Jun. 14, 2019, 01:00 PM",Main Account,0.02000000 BTC,149.36 EUR,7468.00 EUR,0.38000 EUR,Sell
Market,"Jun. 15, 2019, 03:41 PM",Main Account,0.10000000 BTC,786.10 EUR,7861.00 EUR,1.97000 EUR,Sell
Market,"Jun. 16, 2019, 05:54 AM",Main Account,0.04900000 BTC,405.48 EUR,8275.00 EUR,1.02000 EUR,Sell
Market,"Jun. 16, 2019, 08:08 PM",Main Account,0.00454564 BTC,36.05 EUR,7930.00 EUR,0.10000 EUR,Buy
Market,"Jun. 16, 2019, 08:08 PM",Main Account,0.05402867 BTC,428.45 EUR,7930.00 EUR,1.08000 EUR,Buy
Market,"Jun. 16, 2019, 08:12 PM",Main Account,0.00479258 BTC,37.67 EUR,7861.00 EUR,0.10000 EUR,Buy
Market,"Jun. 16, 2019, 08:12 PM",Main Account,0.06873269 BTC,540.31 EUR,7861.00 EUR,1.36000 EUR,Buy
Market,"Jun. 17, 2019, 10:46 AM",Main Account,0.00479258 BTC,39.66 EUR,8275.00 EUR,0.10000 EUR,Sell
Market,"Jun. 17, 2019, 10:46 AM",Main Account,0.06873269 BTC,568.76 EUR,8275.00 EUR,1.43000 EUR,Sell
Market,"Jun. 20, 2019, 08:05 PM",Main Account,0.00454564 BTC,38.60 EUR,8492.00 EUR,0.10000 EUR,Sell
Market,"Jun. 20, 2019, 08:05 PM",Main Account,0.05402867 BTC,458.81 EUR,8492.00 EUR,1.15000 EUR,Sell
